,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.9799),tensor(0.8997),tensor(0.2869),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.9815),tensor(0.8999),tensor(0.3622),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.9811),tensor(0.9002),tensor(0.3595),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.9792),tensor(0.8993),tensor(0.3879),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.9814),tensor(0.9000),tensor(0.3471),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.9820),tensor(0.9001),tensor(0.3812),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.9811),tensor(0.8997),tensor(0.2054),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.9854),tensor(0.9005),tensor(0.4204),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.9813),tensor(0.9000),tensor(0.4128),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.9837),tensor(0.9002),tensor(0.4929),tensor(6.),tensor(1.),tensor(0.)
0,0.05,tensor(2.9795),tensor(0.8997),tensor(0.2323),tensor(5.2085),tensor(0.9880),tensor(0.0431)
0,0.05,tensor(2.9825),tensor(0.8998),tensor(0.9225),tensor(5.3250),tensor(0.9899),tensor(0.0248)
0,0.05,tensor(2.9848),tensor(0.9007),tensor(0.3929),tensor(5.0820),tensor(0.9862),tensor(0.0581)
0,0.05,tensor(2.9790),tensor(0.8995),tensor(0.4434),tensor(5.2201),tensor(0.9885),tensor(0.0359)
0,0.05,tensor(2.9840),tensor(0.9003),tensor(0.4802),tensor(5.2111),tensor(0.9884),tensor(0.0340)
0,0.05,tensor(2.9826),tensor(0.9002),tensor(0.3249),tensor(5.0932),tensor(0.9864),tensor(0.0661)
0,0.05,tensor(2.9799),tensor(0.8996),tensor(0.3929),tensor(5.2081),tensor(0.9882),tensor(0.0504)
0,0.05,tensor(2.9861),tensor(0.9008),tensor(0.5704),tensor(5.1554),tensor(0.9874),tensor(0.0429)
0,0.05,tensor(2.9804),tensor(0.8999),tensor(0.2704),tensor(5.2082),tensor(0.9882),tensor(0.0376)
0,0.05,tensor(2.9823),tensor(0.9000),tensor(0.4582),tensor(5.1368),tensor(0.9872),tensor(0.0461)
