,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.8305),tensor(0.9005),tensor(0.2580),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.8233),tensor(0.8995),tensor(0.3828),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.8265),tensor(0.9000),tensor(0.3079),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.8308),tensor(0.9005),tensor(0.2870),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.8277),tensor(0.9000),tensor(0.3929),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.8246),tensor(0.8997),tensor(0.1802),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.8244),tensor(0.8995),tensor(0.2775),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.8324),tensor(0.9008),tensor(0.4128),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.8290),tensor(0.9001),tensor(0.1954),tensor(6.),tensor(1.),tensor(0.)
0,0.01,tensor(2.8274),tensor(0.8999),tensor(0.4929),tensor(6.),tensor(1.),tensor(0.)
0,0.05,tensor(2.8305),tensor(0.9005),tensor(0.2580),tensor(4.6381),tensor(0.9878),tensor(0.0293)
0,0.05,tensor(2.8233),tensor(0.8995),tensor(0.3828),tensor(4.6465),tensor(0.9883),tensor(0.0296)
0,0.05,tensor(2.8265),tensor(0.9000),tensor(0.3079),tensor(4.4605),tensor(0.9840),tensor(0.0445)
0,0.05,tensor(2.8308),tensor(0.9005),tensor(0.2870),tensor(4.4971),tensor(0.9850),tensor(0.0442)
0,0.05,tensor(2.8277),tensor(0.9000),tensor(0.3929),tensor(4.6341),tensor(0.9878),tensor(0.0301)
0,0.05,tensor(2.8246),tensor(0.8997),tensor(0.1802),tensor(4.4614),tensor(0.9838),tensor(0.0448)
0,0.05,tensor(2.8244),tensor(0.8995),tensor(0.2775),tensor(4.4289),tensor(0.9829),tensor(0.0496)
0,0.05,tensor(2.8324),tensor(0.9008),tensor(0.4128),tensor(4.6340),tensor(0.9878),tensor(0.0300)
0,0.05,tensor(2.8290),tensor(0.9001),tensor(0.1954),tensor(4.6492),tensor(0.9880),tensor(0.0278)
0,0.05,tensor(2.8274),tensor(0.8999),tensor(0.4929),tensor(4.4620),tensor(0.9838),tensor(0.0466)
0,0.1,tensor(2.8305),tensor(0.9005),tensor(0.2580),tensor(3.7675),tensor(0.9594),tensor(0.0896)
0,0.1,tensor(2.8233),tensor(0.8995),tensor(0.3828),tensor(3.8978),tensor(0.9656),tensor(0.0761)
