,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.9799),tensor(0.8997),tensor(0.2869),tensor(5.2225),tensor(0.9768),tensor(0.)
0,0.01,tensor(2.9815),tensor(0.8999),tensor(0.3622),tensor(5.2235),tensor(0.9770),tensor(0.)
0,0.01,tensor(2.9811),tensor(0.9002),tensor(0.3595),tensor(5.2231),tensor(0.9769),tensor(0.)
0,0.01,tensor(2.9792),tensor(0.8993),tensor(0.3879),tensor(5.2233),tensor(0.9770),tensor(0.)
0,0.01,tensor(2.9814),tensor(0.9000),tensor(0.3471),tensor(5.2235),tensor(0.9773),tensor(0.)
0,0.01,tensor(2.9820),tensor(0.9001),tensor(0.3812),tensor(5.2225),tensor(0.9769),tensor(0.)
0,0.01,tensor(2.9811),tensor(0.8997),tensor(0.2054),tensor(5.2225),tensor(0.9769),tensor(0.)
0,0.01,tensor(2.9854),tensor(0.9005),tensor(0.4204),tensor(5.2237),tensor(0.9772),tensor(0.)
0,0.01,tensor(2.9813),tensor(0.9000),tensor(0.4128),tensor(5.2232),tensor(0.9770),tensor(0.)
0,0.01,tensor(2.9837),tensor(0.9002),tensor(0.4929),tensor(5.2233),tensor(0.9770),tensor(0.)
0,0.05,tensor(2.9795),tensor(0.8997),tensor(0.2323),tensor(3.7305),tensor(0.9356),tensor(0.0449)
0,0.05,tensor(2.9825),tensor(0.8998),tensor(0.9225),tensor(3.7207),tensor(0.9343),tensor(0.0392)
0,0.05,tensor(2.9848),tensor(0.9007),tensor(0.3929),tensor(3.5729),tensor(0.9313),tensor(0.0581)
0,0.05,tensor(2.9790),tensor(0.8995),tensor(0.4434),tensor(3.5856),tensor(0.9300),tensor(0.0807)
0,0.05,tensor(2.9840),tensor(0.9003),tensor(0.4802),tensor(3.6926),tensor(0.9348),tensor(0.0464)
0,0.05,tensor(2.9826),tensor(0.9002),tensor(0.3249),tensor(3.7175),tensor(0.9366),tensor(0.0661)
0,0.05,tensor(2.9799),tensor(0.8996),tensor(0.3929),tensor(3.5931),tensor(0.9305),tensor(0.0819)
0,0.05,tensor(2.9861),tensor(0.9008),tensor(0.5704),tensor(3.5736),tensor(0.9303),tensor(0.1004)
0,0.05,tensor(2.9804),tensor(0.8999),tensor(0.2704),tensor(3.7756),tensor(0.9373),tensor(0.0444)
0,0.05,tensor(2.9823),tensor(0.9000),tensor(0.4582),tensor(3.6587),tensor(0.9340),tensor(0.0507)
0,0.1,tensor(2.9810),tensor(0.8997),tensor(0.3691),tensor(3.2923),tensor(0.9187),tensor(0.0862)
0,0.1,tensor(2.9829),tensor(0.9002),tensor(0.4158),tensor(3.2979),tensor(0.9191),tensor(0.0964)
0,0.1,tensor(2.9822),tensor(0.9002),tensor(0.3929),tensor(3.2296),tensor(0.9154),tensor(0.1384)
0,0.1,tensor(2.9819),tensor(0.8998),tensor(0.3544),tensor(3.2401),tensor(0.9160),tensor(0.1395)
0,0.1,tensor(2.9829),tensor(0.9004),tensor(0.4246),tensor(3.2704),tensor(0.9179),tensor(0.0790)
0,0.1,tensor(2.9823),tensor(0.9003),tensor(0.2989),tensor(3.0661),tensor(0.9062),tensor(0.1919)
0,0.1,tensor(2.9796),tensor(0.8997),tensor(0.3214),tensor(3.1111),tensor(0.9085),tensor(0.1319)
0,0.1,tensor(2.9873),tensor(0.9009),tensor(0.4961),tensor(3.2679),tensor(0.9180),tensor(0.0942)
0,0.1,tensor(2.9804),tensor(0.8996),tensor(0.2458),tensor(3.2963),tensor(0.9190),tensor(0.0897)
0,0.1,tensor(2.9837),tensor(0.9004),tensor(0.4929),tensor(3.2853),tensor(0.9184),tensor(0.0916)
0,0.15,tensor(2.9815),tensor(0.8998),tensor(0.2580),tensor(3.1125),tensor(0.9086),tensor(0.1057)
0,0.15,tensor(2.9834),tensor(0.8997),tensor(0.5370),tensor(3.0691),tensor(0.9059),tensor(0.2257)
0,0.15,tensor(2.9858),tensor(0.9006),tensor(0.3870),tensor(3.0187),tensor(0.9029),tensor(0.1698)
0,0.15,tensor(2.9823),tensor(0.8997),tensor(0.3929),tensor(3.0763),tensor(0.9064),tensor(0.1614)
0,0.15,tensor(2.9840),tensor(0.9002),tensor(0.5913),tensor(3.0617),tensor(0.9059),tensor(0.1305)
0,0.15,tensor(2.9832),tensor(0.9000),tensor(0.3107),tensor(3.0237),tensor(0.9029),tensor(0.1666)
0,0.15,tensor(2.9798),tensor(0.8996),tensor(0.5082),tensor(3.0083),tensor(0.9017),tensor(0.2601)
0,0.15,tensor(2.9866),tensor(0.9007),tensor(0.3544),tensor(3.0297),tensor(0.9038),tensor(0.1644)
0,0.15,tensor(2.9817),tensor(0.9000),tensor(0.2277),tensor(3.0107),tensor(0.9021),tensor(0.1549)
0,0.15,tensor(2.9835),tensor(0.9001),tensor(0.4929),tensor(3.0753),tensor(0.9064),tensor(0.2768)
0,0.2,tensor(2.9782),tensor(0.8994),tensor(0.3246),tensor(2.9882),tensor(0.9003),tensor(0.1468)
0,0.2,tensor(2.9836),tensor(0.8999),tensor(0.4537),tensor(3.0026),tensor(0.9014),tensor(0.1970)
0,0.2,tensor(2.9842),tensor(0.9004),tensor(0.3203),tensor(3.0210),tensor(0.9030),tensor(0.1780)
0,0.2,tensor(2.9809),tensor(0.8995),tensor(0.6934),tensor(2.9913),tensor(0.9004),tensor(0.1945)
0,0.2,tensor(2.9812),tensor(0.9002),tensor(0.4484),tensor(3.0247),tensor(0.9032),tensor(0.1399)
0,0.2,tensor(2.9834),tensor(0.9002),tensor(0.2550),tensor(3.0190),tensor(0.9028),tensor(0.1595)
0,0.2,tensor(2.9800),tensor(0.8999),tensor(0.4383),tensor(3.0219),tensor(0.9027),tensor(0.1756)
0,0.2,tensor(2.9863),tensor(0.9006),tensor(0.3128),tensor(2.9955),tensor(0.9013),tensor(0.2087)
0,0.2,tensor(2.9790),tensor(0.8997),tensor(0.2929),tensor(3.0182),tensor(0.9025),tensor(0.1514)
0,0.2,tensor(2.9810),tensor(0.9001),tensor(0.5595),tensor(2.9999),tensor(0.9016),tensor(0.2478)
