,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.1114),tensor(0.9008),tensor(0.0872),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1068),tensor(0.8993),tensor(0.0985),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1071),tensor(0.8997),tensor(0.1035),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1112),tensor(0.9002),tensor(0.0926),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1095),tensor(0.9004),tensor(0.0959),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1100),tensor(0.9001),tensor(0.1001),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1093),tensor(0.8999),tensor(0.0896),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1094),tensor(0.9001),tensor(0.0858),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1080),tensor(0.8998),tensor(0.1071),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1095),tensor(0.8999),tensor(0.1083),tensor(4.),tensor(1.),tensor(0.)
0,0.05,tensor(2.1114),tensor(0.9008),tensor(0.0872),tensor(3.4101),tensor(0.9945),tensor(0.0483)
0,0.05,tensor(2.1068),tensor(0.8993),tensor(0.0985),tensor(3.5331),tensor(0.9964),tensor(0.0360)
0,0.05,tensor(2.1071),tensor(0.8997),tensor(0.1035),tensor(3.4089),tensor(0.9944),tensor(0.0491)
0,0.05,tensor(2.1112),tensor(0.9002),tensor(0.0926),tensor(3.4344),tensor(0.9950),tensor(0.0431)
0,0.05,tensor(2.1095),tensor(0.9004),tensor(0.0959),tensor(3.4492),tensor(0.9951),tensor(0.0409)
0,0.05,tensor(2.1100),tensor(0.9001),tensor(0.1001),tensor(3.4735),tensor(0.9955),tensor(0.0377)
0,0.05,tensor(2.1093),tensor(0.8999),tensor(0.0896),tensor(3.2608),tensor(0.9910),tensor(0.0521)
0,0.05,tensor(2.1094),tensor(0.9001),tensor(0.0858),tensor(3.5111),tensor(0.9962),tensor(0.0363)
0,0.05,tensor(2.1080),tensor(0.8998),tensor(0.1071),tensor(3.4081),tensor(0.9945),tensor(0.0474)
0,0.05,tensor(2.1095),tensor(0.8999),tensor(0.1083),tensor(3.4347),tensor(0.9948),tensor(0.0432)
0,0.1,tensor(2.1114),tensor(0.9008),tensor(0.0872),tensor(2.2662),tensor(0.9232),tensor(0.0707)
0,0.1,tensor(2.1068),tensor(0.8993),tensor(0.0985),tensor(2.1598),tensor(0.9074),tensor(0.0898)
0,0.1,tensor(2.1071),tensor(0.8997),tensor(0.1035),tensor(2.1744),tensor(0.9101),tensor(0.1029)
0,0.1,tensor(2.1112),tensor(0.9002),tensor(0.0926),tensor(2.1586),tensor(0.9076),tensor(0.0897)
0,0.1,tensor(2.1095),tensor(0.9004),tensor(0.0959),tensor(2.1261),tensor(0.9030),tensor(0.0957)
0,0.1,tensor(2.1100),tensor(0.9001),tensor(0.1001),tensor(2.1100),tensor(0.9001),tensor(0.1001)
0,0.1,tensor(2.1093),tensor(0.8999),tensor(0.0896),tensor(2.2848),tensor(0.9253),tensor(0.0783)
0,0.1,tensor(2.1094),tensor(0.9001),tensor(0.0858),tensor(2.1908),tensor(0.9122),tensor(0.0753)
0,0.1,tensor(2.1080),tensor(0.8998),tensor(0.1071),tensor(2.2638),tensor(0.9225),tensor(0.0967)
0,0.1,tensor(2.1095),tensor(0.8999),tensor(0.1083),tensor(2.1095),tensor(0.8999),tensor(0.1083)
0,0.15,tensor(2.1114),tensor(0.9008),tensor(0.0872),tensor(2.1114),tensor(0.9008),tensor(0.0872)
0,0.15,tensor(2.1068),tensor(0.8993),tensor(0.0985),tensor(2.1068),tensor(0.8993),tensor(0.0985)
0,0.15,tensor(2.1071),tensor(0.8997),tensor(0.1035),tensor(2.1071),tensor(0.8997),tensor(0.1035)
0,0.15,tensor(2.1112),tensor(0.9002),tensor(0.0926),tensor(2.1112),tensor(0.9002),tensor(0.0926)
0,0.15,tensor(2.1095),tensor(0.9004),tensor(0.0959),tensor(2.1095),tensor(0.9004),tensor(0.0959)
0,0.15,tensor(2.1100),tensor(0.9001),tensor(0.1001),tensor(2.1100),tensor(0.9001),tensor(0.1001)
0,0.15,tensor(2.1093),tensor(0.8999),tensor(0.0896),tensor(2.1093),tensor(0.8999),tensor(0.0896)
0,0.15,tensor(2.1094),tensor(0.9001),tensor(0.0858),tensor(2.1094),tensor(0.9001),tensor(0.0858)
0,0.15,tensor(2.1080),tensor(0.8998),tensor(0.1071),tensor(2.1080),tensor(0.8998),tensor(0.1071)
0,0.15,tensor(2.1095),tensor(0.8999),tensor(0.1083),tensor(2.1095),tensor(0.8999),tensor(0.1083)
0,0.2,tensor(2.1114),tensor(0.9008),tensor(0.0872),tensor(2.1114),tensor(0.9008),tensor(0.0872)
0,0.2,tensor(2.1068),tensor(0.8993),tensor(0.0985),tensor(2.1068),tensor(0.8993),tensor(0.0985)
0,0.2,tensor(2.1071),tensor(0.8997),tensor(0.1035),tensor(2.1071),tensor(0.8997),tensor(0.1035)
0,0.2,tensor(2.1112),tensor(0.9002),tensor(0.0926),tensor(2.1112),tensor(0.9002),tensor(0.0926)
0,0.2,tensor(2.1095),tensor(0.9004),tensor(0.0959),tensor(2.1095),tensor(0.9004),tensor(0.0959)
0,0.2,tensor(2.1100),tensor(0.9001),tensor(0.1001),tensor(2.1100),tensor(0.9001),tensor(0.1001)
0,0.2,tensor(2.1093),tensor(0.8999),tensor(0.0896),tensor(2.1093),tensor(0.8999),tensor(0.0896)
0,0.2,tensor(2.1094),tensor(0.9001),tensor(0.0858),tensor(2.1094),tensor(0.9001),tensor(0.0858)
0,0.2,tensor(2.1080),tensor(0.8998),tensor(0.1071),tensor(2.1080),tensor(0.8998),tensor(0.1071)
0,0.2,tensor(2.1095),tensor(0.8999),tensor(0.1083),tensor(2.1095),tensor(0.8999),tensor(0.1083)
