,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.1114),tensor(0.9008),tensor(0.0872),tensor(3.4038),tensor(0.9716),tensor(0.)
0,0.01,tensor(2.1068),tensor(0.8993),tensor(0.0985),tensor(3.4028),tensor(0.9714),tensor(0.)
0,0.01,tensor(2.1071),tensor(0.8997),tensor(0.1035),tensor(3.4028),tensor(0.9713),tensor(0.)
0,0.01,tensor(2.1112),tensor(0.9002),tensor(0.0926),tensor(3.4033),tensor(0.9712),tensor(0.)
0,0.01,tensor(2.1095),tensor(0.9004),tensor(0.0959),tensor(3.4038),tensor(0.9713),tensor(0.)
0,0.01,tensor(2.1100),tensor(0.9001),tensor(0.1001),tensor(3.4030),tensor(0.9714),tensor(0.)
0,0.01,tensor(2.1093),tensor(0.8999),tensor(0.0896),tensor(3.4028),tensor(0.9713),tensor(0.)
0,0.01,tensor(2.1094),tensor(0.9001),tensor(0.0858),tensor(3.4030),tensor(0.9711),tensor(0.)
0,0.01,tensor(2.1080),tensor(0.8998),tensor(0.1071),tensor(3.4036),tensor(0.9713),tensor(0.)
0,0.01,tensor(2.1095),tensor(0.8999),tensor(0.1083),tensor(3.4029),tensor(0.9711),tensor(0.)
0,0.05,tensor(2.1114),tensor(0.9008),tensor(0.0872),tensor(2.8312),tensor(0.9624),tensor(0.0486)
0,0.05,tensor(2.1068),tensor(0.8993),tensor(0.0985),tensor(2.7080),tensor(0.9448),tensor(0.0543)
0,0.05,tensor(2.1071),tensor(0.8997),tensor(0.1035),tensor(2.7623),tensor(0.9567),tensor(0.0491)
0,0.05,tensor(2.1112),tensor(0.9002),tensor(0.0926),tensor(2.7960),tensor(0.9582),tensor(0.0431)
0,0.05,tensor(2.1095),tensor(0.9004),tensor(0.0959),tensor(2.6950),tensor(0.9461),tensor(0.0475)
0,0.05,tensor(2.1100),tensor(0.9001),tensor(0.1001),tensor(2.8069),tensor(0.9595),tensor(0.0478)
0,0.05,tensor(2.1093),tensor(0.8999),tensor(0.0896),tensor(2.7230),tensor(0.9563),tensor(0.0521)
0,0.05,tensor(2.1094),tensor(0.9001),tensor(0.0858),tensor(2.7959),tensor(0.9569),tensor(0.0489)
0,0.05,tensor(2.1080),tensor(0.8998),tensor(0.1071),tensor(2.7571),tensor(0.9576),tensor(0.0740)
0,0.05,tensor(2.1095),tensor(0.8999),tensor(0.1083),tensor(2.8039),tensor(0.9591),tensor(0.0432)
0,0.1,tensor(2.1114),tensor(0.9008),tensor(0.0872),tensor(2.1498),tensor(0.9066),tensor(0.0807)
0,0.1,tensor(2.1068),tensor(0.8993),tensor(0.0985),tensor(2.1319),tensor(0.9033),tensor(0.0905)
0,0.1,tensor(2.1071),tensor(0.8997),tensor(0.1035),tensor(2.1265),tensor(0.9028),tensor(0.1035)
0,0.1,tensor(2.1112),tensor(0.9002),tensor(0.0926),tensor(2.1315),tensor(0.9035),tensor(0.0897)
0,0.1,tensor(2.1095),tensor(0.9004),tensor(0.0959),tensor(2.1143),tensor(0.9012),tensor(0.0957)
0,0.1,tensor(2.1100),tensor(0.9001),tensor(0.1001),tensor(2.1100),tensor(0.9001),tensor(0.1001)
0,0.1,tensor(2.1093),tensor(0.8999),tensor(0.0896),tensor(2.1675),tensor(0.9086),tensor(0.0843)
0,0.1,tensor(2.1094),tensor(0.9001),tensor(0.0858),tensor(2.1328),tensor(0.9036),tensor(0.0753)
0,0.1,tensor(2.1080),tensor(0.8998),tensor(0.1071),tensor(2.1422),tensor(0.9046),tensor(0.1071)
0,0.1,tensor(2.1095),tensor(0.8999),tensor(0.1083),tensor(2.1095),tensor(0.8999),tensor(0.1083)
0,0.15,tensor(2.1114),tensor(0.9008),tensor(0.0872),tensor(2.1114),tensor(0.9008),tensor(0.0872)
0,0.15,tensor(2.1068),tensor(0.8993),tensor(0.0985),tensor(2.1068),tensor(0.8993),tensor(0.0985)
0,0.15,tensor(2.1071),tensor(0.8997),tensor(0.1035),tensor(2.1071),tensor(0.8997),tensor(0.1035)
0,0.15,tensor(2.1112),tensor(0.9002),tensor(0.0926),tensor(2.1112),tensor(0.9002),tensor(0.0926)
0,0.15,tensor(2.1095),tensor(0.9004),tensor(0.0959),tensor(2.1095),tensor(0.9004),tensor(0.0959)
0,0.15,tensor(2.1100),tensor(0.9001),tensor(0.1001),tensor(2.1100),tensor(0.9001),tensor(0.1001)
0,0.15,tensor(2.1093),tensor(0.8999),tensor(0.0896),tensor(2.1093),tensor(0.8999),tensor(0.0896)
0,0.15,tensor(2.1094),tensor(0.9001),tensor(0.0858),tensor(2.1094),tensor(0.9001),tensor(0.0858)
0,0.15,tensor(2.1080),tensor(0.8998),tensor(0.1071),tensor(2.1080),tensor(0.8998),tensor(0.1071)
0,0.15,tensor(2.1095),tensor(0.8999),tensor(0.1083),tensor(2.1095),tensor(0.8999),tensor(0.1083)
0,0.2,tensor(2.1114),tensor(0.9008),tensor(0.0872),tensor(2.1114),tensor(0.9008),tensor(0.0872)
0,0.2,tensor(2.1068),tensor(0.8993),tensor(0.0985),tensor(2.1068),tensor(0.8993),tensor(0.0985)
0,0.2,tensor(2.1071),tensor(0.8997),tensor(0.1035),tensor(2.1071),tensor(0.8997),tensor(0.1035)
0,0.2,tensor(2.1112),tensor(0.9002),tensor(0.0926),tensor(2.1112),tensor(0.9002),tensor(0.0926)
0,0.2,tensor(2.1095),tensor(0.9004),tensor(0.0959),tensor(2.1095),tensor(0.9004),tensor(0.0959)
0,0.2,tensor(2.1100),tensor(0.9001),tensor(0.1001),tensor(2.1100),tensor(0.9001),tensor(0.1001)
0,0.2,tensor(2.1093),tensor(0.8999),tensor(0.0896),tensor(2.1093),tensor(0.8999),tensor(0.0896)
0,0.2,tensor(2.1094),tensor(0.9001),tensor(0.0858),tensor(2.1094),tensor(0.9001),tensor(0.0858)
0,0.2,tensor(2.1080),tensor(0.8998),tensor(0.1071),tensor(2.1080),tensor(0.8998),tensor(0.1071)
