,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.3256),tensor(0.8997),tensor(0.0399),tensor(2.8374),tensor(0.9615),tensor(0.0101)
0,0.01,tensor(2.3176),tensor(0.8972),tensor(0.0300),tensor(2.8460),tensor(0.9633),tensor(0.0069)
0,0.01,tensor(2.3328),tensor(0.9008),tensor(0.0262),tensor(2.6803),tensor(0.9459),tensor(0.0082)
0,0.01,tensor(2.3353),tensor(0.9015),tensor(0.0238),tensor(2.8180),tensor(0.9597),tensor(0.0060)
0,0.01,tensor(2.3446),tensor(0.9059),tensor(0.0440),tensor(2.7455),tensor(0.9557),tensor(0.0061)
0,0.01,tensor(2.3084),tensor(0.8969),tensor(0.0217),tensor(2.8952),tensor(0.9695),tensor(0.0054)
0,0.01,tensor(2.3149),tensor(0.9013),tensor(0.0269),tensor(2.8427),tensor(0.9628),tensor(0.0041)
0,0.01,tensor(2.3272),tensor(0.9028),tensor(0.0283),tensor(2.6559),tensor(0.9419),tensor(0.0092)
0,0.01,tensor(2.3161),tensor(0.8957),tensor(0.0368),tensor(2.8947),tensor(0.9683),tensor(0.0048)
0,0.01,tensor(2.3324),tensor(0.8983),tensor(0.0319),tensor(3.0565),tensor(0.9828),tensor(0.0030)
0,0.05,tensor(2.3280),tensor(0.9008),tensor(0.0311),tensor(2.3280),tensor(0.9008),tensor(0.0311)
0,0.05,tensor(2.3500),tensor(0.9048),tensor(0.0239),tensor(2.3500),tensor(0.9048),tensor(0.0239)
0,0.05,tensor(2.3429),tensor(0.9033),tensor(0.0272),tensor(2.3902),tensor(0.9103),tensor(0.0282)
0,0.05,tensor(2.3320),tensor(0.8997),tensor(0.0239),tensor(2.3320),tensor(0.8997),tensor(0.0239)
0,0.05,tensor(2.3132),tensor(0.8992),tensor(0.0218),tensor(2.3132),tensor(0.8992),tensor(0.0218)
0,0.05,tensor(2.3078),tensor(0.8947),tensor(0.0253),tensor(2.3078),tensor(0.8947),tensor(0.0253)
0,0.05,tensor(2.3473),tensor(0.9041),tensor(0.0251),tensor(2.3473),tensor(0.9041),tensor(0.0251)
0,0.05,tensor(2.3250),tensor(0.9001),tensor(0.0352),tensor(2.3250),tensor(0.9001),tensor(0.0352)
0,0.05,tensor(2.3300),tensor(0.9003),tensor(0.0282),tensor(2.3300),tensor(0.9003),tensor(0.0282)
0,0.05,tensor(2.3385),tensor(0.8985),tensor(0.0301),tensor(2.3385),tensor(0.8985),tensor(0.0301)
0,0.1,tensor(2.3368),tensor(0.9021),tensor(0.0353),tensor(2.3368),tensor(0.9021),tensor(0.0353)
0,0.1,tensor(2.3433),tensor(0.9005),tensor(0.0251),tensor(2.3433),tensor(0.9005),tensor(0.0251)
0,0.1,tensor(2.3460),tensor(0.9008),tensor(0.0331),tensor(2.3460),tensor(0.9008),tensor(0.0331)
0,0.1,tensor(2.3076),tensor(0.8971),tensor(0.0278),tensor(2.3076),tensor(0.8971),tensor(0.0278)
0,0.1,tensor(2.3369),tensor(0.9027),tensor(0.0238),tensor(2.3369),tensor(0.9027),tensor(0.0238)
0,0.1,tensor(2.3089),tensor(0.8929),tensor(0.0284),tensor(2.3089),tensor(0.8929),tensor(0.0284)
0,0.1,tensor(2.3260),tensor(0.8993),tensor(0.0252),tensor(2.3260),tensor(0.8993),tensor(0.0252)
0,0.1,tensor(2.3325),tensor(0.8987),tensor(0.0390),tensor(2.3325),tensor(0.8987),tensor(0.0390)
0,0.1,tensor(2.3120),tensor(0.8963),tensor(0.0318),tensor(2.3120),tensor(0.8963),tensor(0.0318)
0,0.1,tensor(2.3197),tensor(0.8972),tensor(0.0288),tensor(2.3197),tensor(0.8972),tensor(0.0288)
0,0.15,tensor(2.3094),tensor(0.8941),tensor(0.0331),tensor(2.3094),tensor(0.8941),tensor(0.0331)
0,0.15,tensor(2.3258),tensor(0.9029),tensor(0.0280),tensor(2.3258),tensor(0.9029),tensor(0.0280)
0,0.15,tensor(2.3202),tensor(0.9011),tensor(0.0306),tensor(2.3202),tensor(0.9011),tensor(0.0306)
0,0.15,tensor(2.3214),tensor(0.8985),tensor(0.0303),tensor(2.3214),tensor(0.8985),tensor(0.0303)
0,0.15,tensor(2.3249),tensor(0.8993),tensor(0.0270),tensor(2.3249),tensor(0.8993),tensor(0.0270)
