,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.2234),tensor(0.9024),tensor(0.0305),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1790),tensor(0.8955),tensor(0.0377),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.2062),tensor(0.8985),tensor(0.0365),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1962),tensor(0.8995),tensor(0.0503),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.2013),tensor(0.9031),tensor(0.0450),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.2289),tensor(0.9003),tensor(0.0397),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.2232),tensor(0.9015),tensor(0.0383),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1956),tensor(0.9020),tensor(0.0398),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1834),tensor(0.8956),tensor(0.0565),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1842),tensor(0.8959),tensor(0.0411),tensor(4.),tensor(1.),tensor(0.)
0,0.05,tensor(2.2142),tensor(0.9031),tensor(0.0513),tensor(2.2142),tensor(0.9031),tensor(0.0513)
0,0.05,tensor(2.1972),tensor(0.9009),tensor(0.0371),tensor(2.4270),tensor(0.9376),tensor(0.0364)
0,0.05,tensor(2.1796),tensor(0.8963),tensor(0.0494),tensor(2.1796),tensor(0.8963),tensor(0.0494)
0,0.05,tensor(2.1530),tensor(0.8937),tensor(0.0661),tensor(2.4821),tensor(0.9461),tensor(0.0492)
0,0.05,tensor(2.2032),tensor(0.9051),tensor(0.0382),tensor(2.2032),tensor(0.9051),tensor(0.0382)
0,0.05,tensor(2.2113),tensor(0.9012),tensor(0.0462),tensor(2.2113),tensor(0.9012),tensor(0.0462)
0,0.05,tensor(2.2250),tensor(0.9037),tensor(0.0484),tensor(2.2453),tensor(0.9079),tensor(0.0495)
0,0.05,tensor(2.1830),tensor(0.8984),tensor(0.0497),tensor(2.7731),tensor(0.9731),tensor(0.0354)
0,0.05,tensor(2.2014),tensor(0.8961),tensor(0.0614),tensor(2.2098),tensor(0.8977),tensor(0.0612)
0,0.05,tensor(2.2577),tensor(0.9123),tensor(0.0411),tensor(2.2577),tensor(0.9123),tensor(0.0411)
0,0.1,tensor(2.2114),tensor(0.9011),tensor(0.0591),tensor(2.2114),tensor(0.9011),tensor(0.0591)
0,0.1,tensor(2.1869),tensor(0.8980),tensor(0.0467),tensor(2.1869),tensor(0.8980),tensor(0.0467)
0,0.1,tensor(2.1917),tensor(0.8981),tensor(0.0511),tensor(2.1917),tensor(0.8981),tensor(0.0511)
0,0.1,tensor(2.1712),tensor(0.8979),tensor(0.0462),tensor(2.1712),tensor(0.8979),tensor(0.0462)
0,0.1,tensor(2.1926),tensor(0.8999),tensor(0.0497),tensor(2.1926),tensor(0.8999),tensor(0.0497)
0,0.1,tensor(2.2242),tensor(0.9056),tensor(0.0403),tensor(2.2242),tensor(0.9056),tensor(0.0403)
0,0.1,tensor(2.2377),tensor(0.9060),tensor(0.0358),tensor(2.2377),tensor(0.9060),tensor(0.0358)
0,0.1,tensor(2.2037),tensor(0.9032),tensor(0.0523),tensor(2.2037),tensor(0.9032),tensor(0.0523)
0,0.1,tensor(2.1913),tensor(0.8957),tensor(0.0382),tensor(2.1913),tensor(0.8957),tensor(0.0382)
0,0.1,tensor(2.2448),tensor(0.9077),tensor(0.0374),tensor(2.2448),tensor(0.9077),tensor(0.0374)
0,0.15,tensor(2.2233),tensor(0.9055),tensor(0.0497),tensor(2.2233),tensor(0.9055),tensor(0.0497)
0,0.15,tensor(2.2105),tensor(0.9012),tensor(0.0426),tensor(2.2105),tensor(0.9012),tensor(0.0426)
0,0.15,tensor(2.2120),tensor(0.9059),tensor(0.0463),tensor(2.2120),tensor(0.9059),tensor(0.0463)
0,0.15,tensor(2.1774),tensor(0.8956),tensor(0.0529),tensor(2.1774),tensor(0.8956),tensor(0.0529)
0,0.15,tensor(2.2025),tensor(0.9005),tensor(0.0499),tensor(2.2025),tensor(0.9005),tensor(0.0499)
0,0.15,tensor(2.1806),tensor(0.8948),tensor(0.0511),tensor(2.1806),tensor(0.8948),tensor(0.0511)
0,0.15,tensor(2.2554),tensor(0.9071),tensor(0.0640),tensor(2.2554),tensor(0.9071),tensor(0.0640)
