,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.2450),tensor(0.8955),tensor(0.0340),tensor(2.6126),tensor(0.9488),tensor(0.0183)
0,0.01,tensor(2.2725),tensor(0.9016),tensor(0.0231),tensor(2.6908),tensor(0.9571),tensor(0.0109)
0,0.01,tensor(2.2738),tensor(0.9039),tensor(0.0279),tensor(2.6938),tensor(0.9588),tensor(0.0110)
0,0.01,tensor(2.2640),tensor(0.9012),tensor(0.0211),tensor(2.8164),tensor(0.9672),tensor(0.0030)
0,0.01,tensor(2.2685),tensor(0.9015),tensor(0.0217),tensor(2.7832),tensor(0.9647),tensor(0.0055)
0,0.01,tensor(2.2608),tensor(0.8987),tensor(0.0196),tensor(2.8074),tensor(0.9665),tensor(0.0075)
0,0.01,tensor(2.2824),tensor(0.9052),tensor(0.0228),tensor(2.7834),tensor(0.9665),tensor(0.0061)
0,0.01,tensor(2.2686),tensor(0.8993),tensor(0.0328),tensor(2.7010),tensor(0.9592),tensor(0.0125)
0,0.01,tensor(2.2688),tensor(0.9021),tensor(0.0420),tensor(2.6919),tensor(0.9583),tensor(0.0106)
0,0.01,tensor(2.2736),tensor(0.9016),tensor(0.0305),tensor(2.8211),tensor(0.9692),tensor(0.0062)
0,0.05,tensor(2.2450),tensor(0.8955),tensor(0.0340),tensor(2.2450),tensor(0.8955),tensor(0.0340)
0,0.05,tensor(2.2725),tensor(0.9016),tensor(0.0231),tensor(2.2725),tensor(0.9016),tensor(0.0231)
0,0.05,tensor(2.2738),tensor(0.9039),tensor(0.0279),tensor(2.2738),tensor(0.9039),tensor(0.0279)
0,0.05,tensor(2.2640),tensor(0.9012),tensor(0.0211),tensor(2.2640),tensor(0.9012),tensor(0.0211)
0,0.05,tensor(2.2685),tensor(0.9015),tensor(0.0217),tensor(2.2685),tensor(0.9015),tensor(0.0217)
0,0.05,tensor(2.2608),tensor(0.8987),tensor(0.0196),tensor(2.2648),tensor(0.8989),tensor(0.0193)
0,0.05,tensor(2.2824),tensor(0.9052),tensor(0.0228),tensor(2.2824),tensor(0.9052),tensor(0.0228)
0,0.05,tensor(2.2686),tensor(0.8993),tensor(0.0328),tensor(2.2686),tensor(0.8993),tensor(0.0328)
0,0.05,tensor(2.2688),tensor(0.9021),tensor(0.0420),tensor(2.2688),tensor(0.9021),tensor(0.0420)
0,0.05,tensor(2.2736),tensor(0.9016),tensor(0.0305),tensor(2.3030),tensor(0.9071),tensor(0.0302)
0,0.1,tensor(2.2450),tensor(0.8955),tensor(0.0340),tensor(2.2450),tensor(0.8955),tensor(0.0340)
0,0.1,tensor(2.2725),tensor(0.9016),tensor(0.0231),tensor(2.2725),tensor(0.9016),tensor(0.0231)
0,0.1,tensor(2.2738),tensor(0.9039),tensor(0.0279),tensor(2.2738),tensor(0.9039),tensor(0.0279)
