,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.2450),tensor(0.8955),tensor(0.0340),tensor(2.4519),tensor(0.9260),tensor(0.0183)
0,0.01,tensor(2.2725),tensor(0.9016),tensor(0.0231),tensor(2.5573),tensor(0.9417),tensor(0.0115)
0,0.01,tensor(2.2738),tensor(0.9039),tensor(0.0279),tensor(2.4842),tensor(0.9332),tensor(0.0110)
0,0.01,tensor(2.2640),tensor(0.9012),tensor(0.0211),tensor(2.5557),tensor(0.9407),tensor(0.0079)
0,0.01,tensor(2.2685),tensor(0.9015),tensor(0.0217),tensor(2.5001),tensor(0.9347),tensor(0.0084)
0,0.01,tensor(2.2608),tensor(0.8987),tensor(0.0196),tensor(2.5155),tensor(0.9337),tensor(0.0198)
0,0.01,tensor(2.2824),tensor(0.9052),tensor(0.0228),tensor(2.5090),tensor(0.9361),tensor(0.0242)
0,0.01,tensor(2.2686),tensor(0.8993),tensor(0.0328),tensor(2.4879),tensor(0.9337),tensor(0.0165)
0,0.01,tensor(2.2688),tensor(0.9021),tensor(0.0420),tensor(2.5767),tensor(0.9461),tensor(0.0123)
0,0.01,tensor(2.2736),tensor(0.9016),tensor(0.0305),tensor(2.4919),tensor(0.9353),tensor(0.0140)
0,0.05,tensor(2.2450),tensor(0.8955),tensor(0.0340),tensor(2.2450),tensor(0.8955),tensor(0.0340)
0,0.05,tensor(2.2725),tensor(0.9016),tensor(0.0231),tensor(2.2725),tensor(0.9016),tensor(0.0231)
0,0.05,tensor(2.2738),tensor(0.9039),tensor(0.0279),tensor(2.2738),tensor(0.9039),tensor(0.0279)
0,0.05,tensor(2.2640),tensor(0.9012),tensor(0.0211),tensor(2.2640),tensor(0.9012),tensor(0.0211)
0,0.05,tensor(2.2685),tensor(0.9015),tensor(0.0217),tensor(2.2685),tensor(0.9015),tensor(0.0217)
0,0.05,tensor(2.2608),tensor(0.8987),tensor(0.0196),tensor(2.2641),tensor(0.8989),tensor(0.0196)
0,0.05,tensor(2.2824),tensor(0.9052),tensor(0.0228),tensor(2.2824),tensor(0.9052),tensor(0.0228)
0,0.05,tensor(2.2686),tensor(0.8993),tensor(0.0328),tensor(2.2686),tensor(0.8993),tensor(0.0328)
0,0.05,tensor(2.2688),tensor(0.9021),tensor(0.0420),tensor(2.2688),tensor(0.9021),tensor(0.0420)
0,0.05,tensor(2.2736),tensor(0.9016),tensor(0.0305),tensor(2.2968),tensor(0.9055),tensor(0.0305)
0,0.1,tensor(2.2450),tensor(0.8955),tensor(0.0340),tensor(2.2450),tensor(0.8955),tensor(0.0340)
0,0.1,tensor(2.2725),tensor(0.9016),tensor(0.0231),tensor(2.2725),tensor(0.9016),tensor(0.0231)
0,0.1,tensor(2.2738),tensor(0.9039),tensor(0.0279),tensor(2.2738),tensor(0.9039),tensor(0.0279)
0,0.1,tensor(2.2640),tensor(0.9012),tensor(0.0211),tensor(2.2640),tensor(0.9012),tensor(0.0211)
0,0.1,tensor(2.2685),tensor(0.9015),tensor(0.0217),tensor(2.2685),tensor(0.9015),tensor(0.0217)
0,0.1,tensor(2.2608),tensor(0.8987),tensor(0.0196),tensor(2.2608),tensor(0.8987),tensor(0.0196)
0,0.1,tensor(2.2824),tensor(0.9052),tensor(0.0228),tensor(2.2824),tensor(0.9052),tensor(0.0228)
0,0.1,tensor(2.2686),tensor(0.8993),tensor(0.0328),tensor(2.2686),tensor(0.8993),tensor(0.0328)
0,0.1,tensor(2.2688),tensor(0.9021),tensor(0.0420),tensor(2.2688),tensor(0.9021),tensor(0.0420)
0,0.1,tensor(2.2736),tensor(0.9016),tensor(0.0305),tensor(2.2736),tensor(0.9016),tensor(0.0305)
0,0.15,tensor(2.2450),tensor(0.8955),tensor(0.0340),tensor(2.2450),tensor(0.8955),tensor(0.0340)
0,0.15,tensor(2.2725),tensor(0.9016),tensor(0.0231),tensor(2.2725),tensor(0.9016),tensor(0.0231)
0,0.15,tensor(2.2738),tensor(0.9039),tensor(0.0279),tensor(2.2738),tensor(0.9039),tensor(0.0279)
0,0.15,tensor(2.2640),tensor(0.9012),tensor(0.0211),tensor(2.2640),tensor(0.9012),tensor(0.0211)
0,0.15,tensor(2.2685),tensor(0.9015),tensor(0.0217),tensor(2.2685),tensor(0.9015),tensor(0.0217)
0,0.15,tensor(2.2608),tensor(0.8987),tensor(0.0196),tensor(2.2608),tensor(0.8987),tensor(0.0196)
0,0.15,tensor(2.2824),tensor(0.9052),tensor(0.0228),tensor(2.2824),tensor(0.9052),tensor(0.0228)
0,0.15,tensor(2.2686),tensor(0.8993),tensor(0.0328),tensor(2.2686),tensor(0.8993),tensor(0.0328)
0,0.15,tensor(2.2688),tensor(0.9021),tensor(0.0420),tensor(2.2688),tensor(0.9021),tensor(0.0420)
0,0.15,tensor(2.2736),tensor(0.9016),tensor(0.0305),tensor(2.2736),tensor(0.9016),tensor(0.0305)
0,0.2,tensor(2.2450),tensor(0.8955),tensor(0.0340),tensor(2.2450),tensor(0.8955),tensor(0.0340)
0,0.2,tensor(2.2725),tensor(0.9016),tensor(0.0231),tensor(2.2725),tensor(0.9016),tensor(0.0231)
0,0.2,tensor(2.2738),tensor(0.9039),tensor(0.0279),tensor(2.2738),tensor(0.9039),tensor(0.0279)
