0,0.05,tensor(2.2977),tensor(0.9045),tensor(0.0789),tensor(3.2550),tensor(0.9814),tensor(0.0831)
0,0.05,tensor(2.2486),tensor(0.8964),tensor(0.0514),tensor(3.1200),tensor(0.9782),tensor(0.0901)
0,0.05,tensor(2.2964),tensor(0.9014),tensor(0.0823),tensor(2.2964),tensor(0.9014),tensor(0.0823)
0,0.05,tensor(2.3282),tensor(0.9082),tensor(0.0391),tensor(3.4323),tensor(0.9905),tensor(0.0538)
0,0.05,tensor(2.2791),tensor(0.8986),tensor(0.0641),tensor(3.3382),tensor(0.9868),tensor(0.0570)
0,0.05,tensor(2.3141),tensor(0.9100),tensor(0.0975),tensor(3.3573),tensor(0.9900),tensor(0.0663)
0,0.05,tensor(2.3045),tensor(0.9045),tensor(0.0615),tensor(3.4523),tensor(0.9918),tensor(0.0375)
0,0.05,tensor(2.3505),tensor(0.9150),tensor(0.0716),tensor(3.2709),tensor(0.9864),tensor(0.0708)
0,0.05,tensor(2.3027),tensor(0.9032),tensor(0.0695),tensor(3.2782),tensor(0.9841),tensor(0.0716)
0,0.05,tensor(2.2818),tensor(0.9009),tensor(0.0693),tensor(3.4573),tensor(0.9900),tensor(0.0364)
0,0.1,tensor(2.2977),tensor(0.9045),tensor(0.0789),tensor(2.2977),tensor(0.9045),tensor(0.0789)
0,0.1,tensor(2.2486),tensor(0.8964),tensor(0.0514),tensor(2.2486),tensor(0.8964),tensor(0.0514)
0,0.1,tensor(2.2964),tensor(0.9014),tensor(0.0823),tensor(2.2964),tensor(0.9014),tensor(0.0823)
0,0.1,tensor(2.3282),tensor(0.9082),tensor(0.0391),tensor(2.3282),tensor(0.9082),tensor(0.0391)
0,0.1,tensor(2.2791),tensor(0.8986),tensor(0.0641),tensor(2.2791),tensor(0.8986),tensor(0.0641)
0,0.1,tensor(2.3141),tensor(0.9100),tensor(0.0975),tensor(2.3141),tensor(0.9100),tensor(0.0975)
0,0.1,tensor(2.3045),tensor(0.9045),tensor(0.0615),tensor(2.3045),tensor(0.9045),tensor(0.0615)
0,0.1,tensor(2.3505),tensor(0.9150),tensor(0.0716),tensor(2.3505),tensor(0.9150),tensor(0.0716)
0,0.1,tensor(2.3027),tensor(0.9032),tensor(0.0695),tensor(2.3027),tensor(0.9032),tensor(0.0695)
