0,0.05,tensor(2.2977),tensor(0.9045),tensor(0.0789),tensor(2.8432),tensor(0.9518),tensor(0.1135)
0,0.05,tensor(2.2486),tensor(0.8964),tensor(0.0514),tensor(2.8659),tensor(0.9564),tensor(0.0901)
0,0.05,tensor(2.2964),tensor(0.9014),tensor(0.0823),tensor(2.2964),tensor(0.9014),tensor(0.0823)
0,0.05,tensor(2.3282),tensor(0.9082),tensor(0.0391),tensor(3.1100),tensor(0.9645),tensor(0.0603)
0,0.05,tensor(2.2791),tensor(0.8986),tensor(0.0641),tensor(2.9445),tensor(0.9586),tensor(0.0660)
0,0.05,tensor(2.3141),tensor(0.9100),tensor(0.0975),tensor(2.4468),tensor(0.9182),tensor(0.0975)
0,0.05,tensor(2.3045),tensor(0.9045),tensor(0.0615),tensor(3.0459),tensor(0.9595),tensor(0.0615)
0,0.05,tensor(2.3505),tensor(0.9150),tensor(0.0716),tensor(2.9259),tensor(0.9609),tensor(0.0708)
0,0.05,tensor(2.3027),tensor(0.9032),tensor(0.0695),tensor(2.8345),tensor(0.9505),tensor(0.0731)
0,0.05,tensor(2.2818),tensor(0.9009),tensor(0.0693),tensor(3.1323),tensor(0.9650),tensor(0.0381)
0,0.1,tensor(2.2977),tensor(0.9045),tensor(0.0789),tensor(2.2977),tensor(0.9045),tensor(0.0789)
0,0.1,tensor(2.2486),tensor(0.8964),tensor(0.0514),tensor(2.2486),tensor(0.8964),tensor(0.0514)
0,0.1,tensor(2.2964),tensor(0.9014),tensor(0.0823),tensor(2.2964),tensor(0.9014),tensor(0.0823)
0,0.1,tensor(2.3282),tensor(0.9082),tensor(0.0391),tensor(2.3282),tensor(0.9082),tensor(0.0391)
0,0.1,tensor(2.2791),tensor(0.8986),tensor(0.0641),tensor(2.2791),tensor(0.8986),tensor(0.0641)
0,0.1,tensor(2.3141),tensor(0.9100),tensor(0.0975),tensor(2.3141),tensor(0.9100),tensor(0.0975)
0,0.1,tensor(2.3045),tensor(0.9045),tensor(0.0615),tensor(2.3045),tensor(0.9045),tensor(0.0615)
0,0.1,tensor(2.3505),tensor(0.9150),tensor(0.0716),tensor(2.3505),tensor(0.9150),tensor(0.0716)
0,0.1,tensor(2.3027),tensor(0.9032),tensor(0.0695),tensor(2.3027),tensor(0.9032),tensor(0.0695)
0,0.1,tensor(2.2818),tensor(0.9009),tensor(0.0693),tensor(2.2818),tensor(0.9009),tensor(0.0693)
0,0.15,tensor(2.2977),tensor(0.9045),tensor(0.0789),tensor(2.2977),tensor(0.9045),tensor(0.0789)
0,0.15,tensor(2.2486),tensor(0.8964),tensor(0.0514),tensor(2.2486),tensor(0.8964),tensor(0.0514)
