,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.3218),tensor(0.8895),tensor(0.0503),tensor(3.3750),tensor(0.9845),tensor(0.0024)
0,0.01,tensor(2.4064),tensor(0.9000),tensor(0.0667),tensor(3.3182),tensor(0.9818),tensor(0.0071)
0,0.01,tensor(2.3655),tensor(0.8941),tensor(0.0645),tensor(3.1227),tensor(0.9691),tensor(0.0429)
0,0.01,tensor(2.4373),tensor(0.9123),tensor(0.0214),tensor(3.4077),tensor(0.9873),tensor(0.0031)
0,0.01,tensor(2.3568),tensor(0.8927),tensor(0.0506),tensor(3.6982),tensor(0.9941),tensor(0.0019)
0,0.01,tensor(2.3823),tensor(0.8955),tensor(0.0677),tensor(3.3241),tensor(0.9855),tensor(0.0053)
0,0.01,tensor(2.4127),tensor(0.9064),tensor(0.0692),tensor(3.2909),tensor(0.9823),tensor(0.0107)
0,0.01,tensor(2.4473),tensor(0.9073),tensor(0.0588),tensor(3.3373),tensor(0.9886),tensor(0.0142)
0,0.01,tensor(2.4418),tensor(0.9041),tensor(0.0838),tensor(3.1564),tensor(0.9764),tensor(0.0431)
0,0.01,tensor(2.4427),tensor(0.9118),tensor(0.0577),tensor(3.4945),tensor(0.9900),tensor(0.0244)
0,0.05,tensor(2.3945),tensor(0.9036),tensor(0.0602),tensor(2.9686),tensor(0.9595),tensor(0.0329)
0,0.05,tensor(2.3727),tensor(0.8936),tensor(0.0562),tensor(2.7068),tensor(0.9377),tensor(0.0538)
0,0.05,tensor(2.4195),tensor(0.9032),tensor(0.0663),tensor(2.5968),tensor(0.9227),tensor(0.0697)
0,0.05,tensor(2.4445),tensor(0.9073),tensor(0.0200),tensor(3.0641),tensor(0.9718),tensor(0.0091)
0,0.05,tensor(2.4245),tensor(0.9014),tensor(0.0532),tensor(2.8186),tensor(0.9486),tensor(0.0489)
0,0.05,tensor(2.4295),tensor(0.9091),tensor(0.0737),tensor(2.6455),tensor(0.9355),tensor(0.0651)
0,0.05,tensor(2.3559),tensor(0.8923),tensor(0.0571),tensor(2.9950),tensor(0.9605),tensor(0.0278)
0,0.05,tensor(2.4609),tensor(0.9077),tensor(0.0486),tensor(2.9445),tensor(0.9614),tensor(0.0308)
0,0.05,tensor(2.4355),tensor(0.9036),tensor(0.0793),tensor(2.4355),tensor(0.9036),tensor(0.0793)
0,0.05,tensor(2.4177),tensor(0.9018),tensor(0.0448),tensor(3.1336),tensor(0.9764),tensor(0.0044)
0,0.1,tensor(2.4118),tensor(0.9005),tensor(0.0634),tensor(2.4118),tensor(0.9005),tensor(0.0634)
0,0.1,tensor(2.3855),tensor(0.8991),tensor(0.0536),tensor(2.3855),tensor(0.8991),tensor(0.0536)
0,0.1,tensor(2.3982),tensor(0.8923),tensor(0.0823),tensor(2.3982),tensor(0.8923),tensor(0.0823)
0,0.1,tensor(2.4418),tensor(0.9123),tensor(0.0278),tensor(2.6941),tensor(0.9391),tensor(0.0200)
0,0.1,tensor(2.4255),tensor(0.9045),tensor(0.0603),tensor(2.4255),tensor(0.9045),tensor(0.0603)
0,0.1,tensor(2.3964),tensor(0.9045),tensor(0.0733),tensor(2.3964),tensor(0.9045),tensor(0.0733)
0,0.1,tensor(2.3750),tensor(0.8950),tensor(0.0557),tensor(2.3750),tensor(0.8950),tensor(0.0557)
0,0.1,tensor(2.4445),tensor(0.9100),tensor(0.0580),tensor(2.4445),tensor(0.9100),tensor(0.0580)
0,0.1,tensor(2.3895),tensor(0.9005),tensor(0.0843),tensor(2.3895),tensor(0.9005),tensor(0.0843)
0,0.1,tensor(2.4327),tensor(0.9073),tensor(0.0491),tensor(2.4327),tensor(0.9073),tensor(0.0491)
0,0.15,tensor(2.3418),tensor(0.8973),tensor(0.0792),tensor(2.3418),tensor(0.8973),tensor(0.0792)
0,0.15,tensor(2.4173),tensor(0.9055),tensor(0.0499),tensor(2.4173),tensor(0.9055),tensor(0.0499)
0,0.15,tensor(2.4259),tensor(0.9041),tensor(0.0806),tensor(2.4259),tensor(0.9041),tensor(0.0806)
0,0.15,tensor(2.4136),tensor(0.9105),tensor(0.0516),tensor(2.4136),tensor(0.9105),tensor(0.0516)
0,0.15,tensor(2.4114),tensor(0.9068),tensor(0.0447),tensor(2.4114),tensor(0.9068),tensor(0.0447)
