,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.2977),tensor(0.9045),tensor(0.0569),tensor(2.5900),tensor(0.9227),tensor(0.0141)
0,0.01,tensor(2.2486),tensor(0.8964),tensor(0.0634),tensor(2.8186),tensor(0.9509),tensor(0.0136)
0,0.01,tensor(2.2964),tensor(0.9014),tensor(0.0964),tensor(2.5441),tensor(0.9250),tensor(0.0384)
0,0.01,tensor(2.3282),tensor(0.9082),tensor(0.0278),tensor(2.9323),tensor(0.9577),tensor(0.0100)
0,0.01,tensor(2.2791),tensor(0.8986),tensor(0.0711),tensor(2.5636),tensor(0.9245),tensor(0.0140)
0,0.01,tensor(2.3141),tensor(0.9100),tensor(0.0802),tensor(2.6109),tensor(0.9295),tensor(0.0177)
0,0.01,tensor(2.3045),tensor(0.9045),tensor(0.0609),tensor(2.6641),tensor(0.9282),tensor(0.0120)
0,0.01,tensor(2.3505),tensor(0.9150),tensor(0.0489),tensor(2.6132),tensor(0.9386),tensor(0.0295)
0,0.01,tensor(2.3027),tensor(0.9032),tensor(0.0730),tensor(2.4282),tensor(0.9100),tensor(0.0283)
0,0.01,tensor(2.2818),tensor(0.9009),tensor(0.0757),tensor(2.6136),tensor(0.9227),tensor(0.0130)
0,0.05,tensor(2.2977),tensor(0.9045),tensor(0.0569),tensor(2.3468),tensor(0.9095),tensor(0.0582)
0,0.05,tensor(2.2486),tensor(0.8964),tensor(0.0634),tensor(2.2955),tensor(0.9027),tensor(0.0574)
0,0.05,tensor(2.2964),tensor(0.9014),tensor(0.0964),tensor(2.3155),tensor(0.9036),tensor(0.0697)
0,0.05,tensor(2.3282),tensor(0.9082),tensor(0.0278),tensor(2.4509),tensor(0.9150),tensor(0.0225)
0,0.05,tensor(2.2791),tensor(0.8986),tensor(0.0711),tensor(2.3036),tensor(0.9014),tensor(0.0636)
0,0.05,tensor(2.3141),tensor(0.9100),tensor(0.0802),tensor(2.3568),tensor(0.9136),tensor(0.0562)
