,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.2741),tensor(0.8895),tensor(0.0560),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3982),tensor(0.9082),tensor(0.0412),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.2982),tensor(0.8918),tensor(0.0751),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.2532),tensor(0.8873),tensor(0.0911),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.4014),tensor(0.9109),tensor(0.0690),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3368),tensor(0.8977),tensor(0.0714),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3414),tensor(0.8982),tensor(0.0612),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3759),tensor(0.9032),tensor(0.0655),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3714),tensor(0.9032),tensor(0.0608),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3632),tensor(0.9064),tensor(0.0688),tensor(4.),tensor(1.),tensor(0.)
0,0.05,tensor(2.2741),tensor(0.8895),tensor(0.0560),tensor(2.7395),tensor(0.9400),tensor(0.0403)
0,0.05,tensor(2.3982),tensor(0.9082),tensor(0.0412),tensor(2.9568),tensor(0.9627),tensor(0.0241)
0,0.05,tensor(2.2982),tensor(0.8918),tensor(0.0751),tensor(2.7195),tensor(0.9414),tensor(0.0608)
0,0.05,tensor(2.2532),tensor(0.8873),tensor(0.0911),tensor(3.0745),tensor(0.9677),tensor(0.0499)
0,0.05,tensor(2.4014),tensor(0.9109),tensor(0.0690),tensor(2.5409),tensor(0.9291),tensor(0.0686)
0,0.05,tensor(2.3368),tensor(0.8977),tensor(0.0714),tensor(2.7164),tensor(0.9364),tensor(0.0521)
0,0.05,tensor(2.3414),tensor(0.8982),tensor(0.0612),tensor(2.9445),tensor(0.9555),tensor(0.0254)
0,0.05,tensor(2.3759),tensor(0.9032),tensor(0.0655),tensor(2.7641),tensor(0.9441),tensor(0.0394)
0,0.05,tensor(2.3714),tensor(0.9032),tensor(0.0608),tensor(2.8036),tensor(0.9436),tensor(0.0350)
0,0.05,tensor(2.3632),tensor(0.9064),tensor(0.0688),tensor(2.5973),tensor(0.9305),tensor(0.0520)
0,0.1,tensor(2.2741),tensor(0.8895),tensor(0.0560),tensor(2.2741),tensor(0.8895),tensor(0.0560)
0,0.1,tensor(2.3982),tensor(0.9082),tensor(0.0412),tensor(2.3982),tensor(0.9082),tensor(0.0412)
0,0.1,tensor(2.2982),tensor(0.8918),tensor(0.0751),tensor(2.2982),tensor(0.8918),tensor(0.0751)
