,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.3768),tensor(0.9109),tensor(0.1032),tensor(3.6991),tensor(0.9995),tensor(0.0062)
0,0.01,tensor(2.2900),tensor(0.8918),tensor(0.0903),tensor(3.7418),tensor(0.9991),tensor(0.0014)
0,0.01,tensor(2.3091),tensor(0.9014),tensor(0.0868),tensor(3.6482),tensor(0.9986),tensor(0.0206)
0,0.01,tensor(2.3209),tensor(0.8964),tensor(0.1209),tensor(3.4173),tensor(0.9959),tensor(0.0466)
0,0.01,tensor(2.2923),tensor(0.8905),tensor(0.1070),tensor(3.5877),tensor(0.9986),tensor(0.0266)
0,0.01,tensor(2.3773),tensor(0.9105),tensor(0.0871),tensor(3.7582),tensor(1.),tensor(0.0010)
0,0.01,tensor(2.3141),tensor(0.8977),tensor(0.0907),tensor(3.7750),tensor(1.),tensor(0.0022)
0,0.01,tensor(2.3350),tensor(0.9036),tensor(0.0804),tensor(3.7241),tensor(0.9995),tensor(0.0032)
0,0.01,tensor(2.3359),tensor(0.9041),tensor(0.1020),tensor(3.6864),tensor(0.9995),tensor(0.0124)
0,0.01,tensor(2.3205),tensor(0.9000),tensor(0.0808),tensor(3.7395),tensor(0.9995),tensor(0.0012)
0,0.05,tensor(2.3768),tensor(0.9109),tensor(0.1032),tensor(3.2005),tensor(0.9823),tensor(0.0459)
0,0.05,tensor(2.2900),tensor(0.8918),tensor(0.0903),tensor(3.2473),tensor(0.9836),tensor(0.0366)
0,0.05,tensor(2.3091),tensor(0.9014),tensor(0.0868),tensor(3.1541),tensor(0.9836),tensor(0.0571)
0,0.05,tensor(2.3209),tensor(0.8964),tensor(0.1209),tensor(2.5277),tensor(0.9232),tensor(0.1110)
0,0.05,tensor(2.2923),tensor(0.8905),tensor(0.1070),tensor(2.9973),tensor(0.9700),tensor(0.0672)
0,0.05,tensor(2.3773),tensor(0.9105),tensor(0.0871),tensor(3.2264),tensor(0.9873),tensor(0.0443)
0,0.05,tensor(2.3141),tensor(0.8977),tensor(0.0907),tensor(3.2282),tensor(0.9882),tensor(0.0393)
0,0.05,tensor(2.3350),tensor(0.9036),tensor(0.0804),tensor(3.1900),tensor(0.9850),tensor(0.0435)
0,0.05,tensor(2.3359),tensor(0.9041),tensor(0.1020),tensor(3.1541),tensor(0.9836),tensor(0.0576)
0,0.05,tensor(2.3205),tensor(0.9000),tensor(0.0808),tensor(3.3486),tensor(0.9936),tensor(0.0297)
0,0.1,tensor(2.3768),tensor(0.9109),tensor(0.1032),tensor(2.3768),tensor(0.9109),tensor(0.1032)
0,0.1,tensor(2.2900),tensor(0.8918),tensor(0.0903),tensor(2.2900),tensor(0.8918),tensor(0.0903)
0,0.1,tensor(2.3091),tensor(0.9014),tensor(0.0868),tensor(2.3091),tensor(0.9014),tensor(0.0868)
0,0.1,tensor(2.3209),tensor(0.8964),tensor(0.1209),tensor(2.3209),tensor(0.8964),tensor(0.1209)
0,0.1,tensor(2.2923),tensor(0.8905),tensor(0.1070),tensor(2.2923),tensor(0.8905),tensor(0.1070)
0,0.1,tensor(2.3773),tensor(0.9105),tensor(0.0871),tensor(2.3773),tensor(0.9105),tensor(0.0871)
0,0.1,tensor(2.3141),tensor(0.8977),tensor(0.0907),tensor(2.3141),tensor(0.8977),tensor(0.0907)
0,0.1,tensor(2.3350),tensor(0.9036),tensor(0.0804),tensor(2.3841),tensor(0.9105),tensor(0.0766)
0,0.1,tensor(2.3359),tensor(0.9041),tensor(0.1020),tensor(2.3377),tensor(0.9041),tensor(0.1020)
0,0.1,tensor(2.3205),tensor(0.9000),tensor(0.0808),tensor(2.4050),tensor(0.9086),tensor(0.0712)
0,0.15,tensor(2.3768),tensor(0.9109),tensor(0.1032),tensor(2.3768),tensor(0.9109),tensor(0.1032)
0,0.15,tensor(2.2900),tensor(0.8918),tensor(0.0903),tensor(2.2900),tensor(0.8918),tensor(0.0903)
0,0.15,tensor(2.3091),tensor(0.9014),tensor(0.0868),tensor(2.3091),tensor(0.9014),tensor(0.0868)
0,0.15,tensor(2.3209),tensor(0.8964),tensor(0.1209),tensor(2.3209),tensor(0.8964),tensor(0.1209)
0,0.15,tensor(2.2923),tensor(0.8905),tensor(0.1070),tensor(2.2923),tensor(0.8905),tensor(0.1070)
0,0.15,tensor(2.3773),tensor(0.9105),tensor(0.0871),tensor(2.3773),tensor(0.9105),tensor(0.0871)
0,0.15,tensor(2.3141),tensor(0.8977),tensor(0.0907),tensor(2.3141),tensor(0.8977),tensor(0.0907)
0,0.15,tensor(2.3350),tensor(0.9036),tensor(0.0804),tensor(2.3350),tensor(0.9036),tensor(0.0804)
0,0.15,tensor(2.3359),tensor(0.9041),tensor(0.1020),tensor(2.3359),tensor(0.9041),tensor(0.1020)
0,0.15,tensor(2.3205),tensor(0.9000),tensor(0.0808),tensor(2.3205),tensor(0.9000),tensor(0.0808)
0,0.2,tensor(2.3768),tensor(0.9109),tensor(0.1032),tensor(2.3768),tensor(0.9109),tensor(0.1032)
0,0.2,tensor(2.2900),tensor(0.8918),tensor(0.0903),tensor(2.2900),tensor(0.8918),tensor(0.0903)
0,0.2,tensor(2.3091),tensor(0.9014),tensor(0.0868),tensor(2.3091),tensor(0.9014),tensor(0.0868)
0,0.2,tensor(2.3209),tensor(0.8964),tensor(0.1209),tensor(2.3209),tensor(0.8964),tensor(0.1209)
0,0.2,tensor(2.2923),tensor(0.8905),tensor(0.1070),tensor(2.2923),tensor(0.8905),tensor(0.1070)
0,0.2,tensor(2.3773),tensor(0.9105),tensor(0.0871),tensor(2.3773),tensor(0.9105),tensor(0.0871)
0,0.2,tensor(2.3141),tensor(0.8977),tensor(0.0907),tensor(2.3141),tensor(0.8977),tensor(0.0907)
