,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.5623),tensor(0.9091),tensor(0.0680),tensor(3.3318),tensor(0.9755),tensor(0.0182)
0,0.01,tensor(2.4741),tensor(0.8895),tensor(0.0606),tensor(3.4691),tensor(0.9718),tensor(0.0078)
0,0.01,tensor(2.4982),tensor(0.8973),tensor(0.0698),tensor(3.2114),tensor(0.9464),tensor(0.0073)
0,0.01,tensor(2.4345),tensor(0.8868),tensor(0.1025),tensor(2.9250),tensor(0.9377),tensor(0.0358)
0,0.01,tensor(2.4868),tensor(0.8914),tensor(0.0832),tensor(3.3759),tensor(0.9759),tensor(0.0271)
0,0.01,tensor(2.6068),tensor(0.9141),tensor(0.0531),tensor(3.0591),tensor(0.9427),tensor(0.0183)
0,0.01,tensor(2.4655),tensor(0.8982),tensor(0.0670),tensor(2.9400),tensor(0.9373),tensor(0.0145)
0,0.01,tensor(2.5595),tensor(0.9136),tensor(0.0583),tensor(3.5373),tensor(0.9782),tensor(0.0097)
0,0.01,tensor(2.5727),tensor(0.9095),tensor(0.0693),tensor(2.9223),tensor(0.9318),tensor(0.0257)
0,0.01,tensor(2.5582),tensor(0.9068),tensor(0.0498),tensor(3.1541),tensor(0.9541),tensor(0.0264)
0,0.05,tensor(2.5018),tensor(0.8959),tensor(0.0710),tensor(2.5073),tensor(0.8964),tensor(0.0710)
0,0.05,tensor(2.4800),tensor(0.8909),tensor(0.0682),tensor(2.6268),tensor(0.8936),tensor(0.0211)
0,0.05,tensor(2.5109),tensor(0.8995),tensor(0.0685),tensor(2.5541),tensor(0.9005),tensor(0.0521)
0,0.05,tensor(2.4768),tensor(0.8932),tensor(0.1111),tensor(2.4814),tensor(0.8936),tensor(0.1079)
0,0.05,tensor(2.4677),tensor(0.8905),tensor(0.0820),tensor(2.5164),tensor(0.8918),tensor(0.0554)
0,0.05,tensor(2.5600),tensor(0.9059),tensor(0.0595),tensor(2.6764),tensor(0.9082),tensor(0.0196)
0,0.05,tensor(2.5650),tensor(0.9050),tensor(0.0681),tensor(2.6336),tensor(0.9068),tensor(0.0250)
0,0.05,tensor(2.4845),tensor(0.9041),tensor(0.0673),tensor(2.5982),tensor(0.9059),tensor(0.0404)
0,0.05,tensor(2.5105),tensor(0.9000),tensor(0.0792),tensor(2.7218),tensor(0.9109),tensor(0.0364)
0,0.05,tensor(2.6245),tensor(0.9159),tensor(0.0502),tensor(2.7059),tensor(0.9177),tensor(0.0260)
0,0.1,tensor(2.5655),tensor(0.9055),tensor(0.0692),tensor(2.5655),tensor(0.9055),tensor(0.0692)
0,0.1,tensor(2.5509),tensor(0.9000),tensor(0.0613),tensor(2.5932),tensor(0.9005),tensor(0.0438)
