,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.3418),tensor(0.9045),tensor(0.0569),tensor(3.2200),tensor(0.9850),tensor(0.0082)
0,0.01,tensor(2.3273),tensor(0.9018),tensor(0.0506),tensor(3.2086),tensor(0.9845),tensor(0.0047)
0,0.01,tensor(2.3514),tensor(0.9077),tensor(0.0803),tensor(3.9127),tensor(0.9991),tensor(0.0032)
0,0.01,tensor(2.3700),tensor(0.9141),tensor(0.0181),tensor(3.3050),tensor(0.9886),tensor(0.0273)
0,0.01,tensor(2.2859),tensor(0.8923),tensor(0.0599),tensor(3.2564),tensor(0.9877),tensor(0.0035)
0,0.01,tensor(2.3509),tensor(0.9082),tensor(0.0648),tensor(3.1777),tensor(0.9827),tensor(0.0270)
0,0.01,tensor(2.3341),tensor(0.8973),tensor(0.0529),tensor(3.2823),tensor(0.9868),tensor(0.0143)
0,0.01,tensor(2.3323),tensor(0.8977),tensor(0.0540),tensor(3.1714),tensor(0.9805),tensor(0.0285)
0,0.01,tensor(2.3355),tensor(0.9018),tensor(0.0746),tensor(3.1955),tensor(0.9814),tensor(0.0136)
0,0.01,tensor(2.3377),tensor(0.9023),tensor(0.0651),tensor(3.3105),tensor(0.9873),tensor(0.0251)
0,0.05,tensor(2.3418),tensor(0.9045),tensor(0.0569),tensor(2.4973),tensor(0.9250),tensor(0.0531)
0,0.05,tensor(2.3273),tensor(0.9018),tensor(0.0506),tensor(2.7386),tensor(0.9505),tensor(0.0492)
0,0.05,tensor(2.3514),tensor(0.9077),tensor(0.0803),tensor(2.3514),tensor(0.9077),tensor(0.0803)
0,0.05,tensor(2.3700),tensor(0.9141),tensor(0.0181),tensor(3.1327),tensor(0.9800),tensor(0.0104)
0,0.05,tensor(2.2859),tensor(0.8923),tensor(0.0599),tensor(2.4955),tensor(0.9227),tensor(0.0510)
0,0.05,tensor(2.3509),tensor(0.9082),tensor(0.0648),tensor(2.4936),tensor(0.9264),tensor(0.0537)
0,0.05,tensor(2.3341),tensor(0.8973),tensor(0.0529),tensor(2.9705),tensor(0.9677),tensor(0.0287)
0,0.05,tensor(2.3323),tensor(0.8977),tensor(0.0540),tensor(2.7014),tensor(0.9427),tensor(0.0501)
0,0.05,tensor(2.3355),tensor(0.9018),tensor(0.0746),tensor(2.3427),tensor(0.9036),tensor(0.0765)
0,0.05,tensor(2.3377),tensor(0.9023),tensor(0.0651),tensor(2.9291),tensor(0.9636),tensor(0.0306)
0,0.1,tensor(2.3418),tensor(0.9045),tensor(0.0569),tensor(2.3418),tensor(0.9045),tensor(0.0569)
0,0.1,tensor(2.3273),tensor(0.9018),tensor(0.0506),tensor(2.3273),tensor(0.9018),tensor(0.0506)
0,0.1,tensor(2.3514),tensor(0.9077),tensor(0.0803),tensor(2.3514),tensor(0.9077),tensor(0.0803)
