,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.3482),tensor(0.8973),tensor(0.0737),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.4391),tensor(0.9082),tensor(0.0782),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.4159),tensor(0.8945),tensor(0.0953),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3668),tensor(0.9009),tensor(0.1015),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.4409),tensor(0.9186),tensor(0.0857),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3414),tensor(0.8918),tensor(0.1240),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3964),tensor(0.9050),tensor(0.0869),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.4709),tensor(0.9195),tensor(0.0762),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.4414),tensor(0.9118),tensor(0.0388),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.4223),tensor(0.9082),tensor(0.0787),tensor(4.),tensor(1.),tensor(0.)
0,0.05,tensor(2.3736),tensor(0.9023),tensor(0.0614),tensor(3.2595),tensor(0.9823),tensor(0.0375)
0,0.05,tensor(2.4373),tensor(0.9091),tensor(0.0813),tensor(3.2464),tensor(0.9800),tensor(0.0256)
0,0.05,tensor(2.3868),tensor(0.8941),tensor(0.1025),tensor(2.9664),tensor(0.9573),tensor(0.0819)
0,0.05,tensor(2.3691),tensor(0.8973),tensor(0.1193),tensor(3.2241),tensor(0.9841),tensor(0.0352)
0,0.05,tensor(2.4205),tensor(0.9105),tensor(0.0751),tensor(3.0309),tensor(0.9732),tensor(0.0699)
0,0.05,tensor(2.3650),tensor(0.8950),tensor(0.1082),tensor(3.1391),tensor(0.9714),tensor(0.0559)
0,0.05,tensor(2.3468),tensor(0.8950),tensor(0.1101),tensor(3.1414),tensor(0.9741),tensor(0.0493)
0,0.05,tensor(2.4145),tensor(0.9095),tensor(0.0798),tensor(3.2055),tensor(0.9832),tensor(0.0441)
0,0.05,tensor(2.4150),tensor(0.9109),tensor(0.0433),tensor(3.6314),tensor(0.9955),tensor(0.0332)
0,0.05,tensor(2.4027),tensor(0.9095),tensor(0.0827),tensor(3.4882),tensor(0.9886),tensor(0.0395)
0,0.1,tensor(2.3945),tensor(0.8995),tensor(0.0716),tensor(2.5886),tensor(0.9223),tensor(0.0477)
0,0.1,tensor(2.4232),tensor(0.9041),tensor(0.0999),tensor(2.4232),tensor(0.9041),tensor(0.0999)
0,0.1,tensor(2.3255),tensor(0.8818),tensor(0.0966),tensor(2.3255),tensor(0.8818),tensor(0.0966)
0,0.1,tensor(2.3855),tensor(0.9009),tensor(0.0782),tensor(2.3855),tensor(0.9009),tensor(0.0782)
0,0.1,tensor(2.4182),tensor(0.9077),tensor(0.0718),tensor(2.4182),tensor(0.9077),tensor(0.0718)
0,0.1,tensor(2.3895),tensor(0.8959),tensor(0.1147),tensor(2.3895),tensor(0.8959),tensor(0.1147)
0,0.1,tensor(2.4095),tensor(0.8991),tensor(0.0755),tensor(2.7927),tensor(0.9432),tensor(0.0505)
0,0.1,tensor(2.4032),tensor(0.9032),tensor(0.0791),tensor(2.5473),tensor(0.9205),tensor(0.0739)
0,0.1,tensor(2.4650),tensor(0.9155),tensor(0.0435),tensor(2.9950),tensor(0.9714),tensor(0.0442)
0,0.1,tensor(2.4205),tensor(0.9127),tensor(0.1066),tensor(2.4205),tensor(0.9127),tensor(0.1066)
0,0.15,tensor(2.3741),tensor(0.9018),tensor(0.0689),tensor(2.3741),tensor(0.9018),tensor(0.0689)
0,0.15,tensor(2.4636),tensor(0.9068),tensor(0.0764),tensor(2.4636),tensor(0.9068),tensor(0.0764)
0,0.15,tensor(2.3291),tensor(0.8845),tensor(0.1006),tensor(2.3291),tensor(0.8845),tensor(0.1006)
0,0.15,tensor(2.3777),tensor(0.8941),tensor(0.1069),tensor(2.3777),tensor(0.8941),tensor(0.1069)
0,0.15,tensor(2.4545),tensor(0.9109),tensor(0.0784),tensor(2.4545),tensor(0.9109),tensor(0.0784)
0,0.15,tensor(2.3773),tensor(0.8964),tensor(0.1129),tensor(2.3773),tensor(0.8964),tensor(0.1129)
0,0.15,tensor(2.3559),tensor(0.8995),tensor(0.0613),tensor(2.3559),tensor(0.8995),tensor(0.0613)
0,0.15,tensor(2.4314),tensor(0.9095),tensor(0.0832),tensor(2.4314),tensor(0.9095),tensor(0.0832)
0,0.15,tensor(2.4723),tensor(0.9073),tensor(0.0488),tensor(2.4723),tensor(0.9073),tensor(0.0488)
0,0.15,tensor(2.4577),tensor(0.9127),tensor(0.0926),tensor(2.4577),tensor(0.9127),tensor(0.0926)
0,0.2,tensor(2.4082),tensor(0.9018),tensor(0.0628),tensor(2.4082),tensor(0.9018),tensor(0.0628)
0,0.2,tensor(2.4009),tensor(0.9105),tensor(0.0946),tensor(2.4009),tensor(0.9105),tensor(0.0946)
0,0.2,tensor(2.3550),tensor(0.8918),tensor(0.1032),tensor(2.3550),tensor(0.8918),tensor(0.1032)
0,0.2,tensor(2.3450),tensor(0.8923),tensor(0.0937),tensor(2.3450),tensor(0.8923),tensor(0.0937)
0,0.2,tensor(2.5055),tensor(0.9227),tensor(0.0734),tensor(2.5055),tensor(0.9227),tensor(0.0734)
0,0.2,tensor(2.3964),tensor(0.8927),tensor(0.1139),tensor(2.3964),tensor(0.8927),tensor(0.1139)
0,0.2,tensor(2.4345),tensor(0.9100),tensor(0.0732),tensor(2.4345),tensor(0.9100),tensor(0.0732)
0,0.2,tensor(2.4309),tensor(0.9123),tensor(0.0836),tensor(2.4309),tensor(0.9123),tensor(0.0836)
0,0.2,tensor(2.4955),tensor(0.9141),tensor(0.0440),tensor(2.4955),tensor(0.9141),tensor(0.0440)
0,0.2,tensor(2.3968),tensor(0.9105),tensor(0.0953),tensor(2.3968),tensor(0.9105),tensor(0.0953)
