,c,base_eff,base_coverage,base_violation,eff,coverage,violation
0,0.01,tensor(2.2395),tensor(0.9032),tensor(0.0898),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3518),tensor(0.9186),tensor(0.1052),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1636),tensor(0.8823),tensor(0.1127),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.1745),tensor(0.8900),tensor(0.1192),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3295),tensor(0.9155),tensor(0.0893),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.2064),tensor(0.8950),tensor(0.1284),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.2645),tensor(0.9059),tensor(0.0913),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3159),tensor(0.9127),tensor(0.0892),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.3145),tensor(0.9136),tensor(0.0554),tensor(4.),tensor(1.),tensor(0.)
0,0.01,tensor(2.2877),tensor(0.9109),tensor(0.1279),tensor(4.),tensor(1.),tensor(0.)
0,0.05,tensor(2.2395),tensor(0.9032),tensor(0.0898),tensor(3.4332),tensor(0.9923),tensor(0.0330)
0,0.05,tensor(2.3518),tensor(0.9186),tensor(0.1052),tensor(3.2986),tensor(0.9900),tensor(0.0431)
0,0.05,tensor(2.1636),tensor(0.8823),tensor(0.1127),tensor(2.7741),tensor(0.9555),tensor(0.0893)
0,0.05,tensor(2.1745),tensor(0.8900),tensor(0.1192),tensor(3.5041),tensor(0.9918),tensor(0.0288)
0,0.05,tensor(2.3295),tensor(0.9155),tensor(0.0893),tensor(2.9982),tensor(0.9768),tensor(0.0833)
0,0.05,tensor(2.2064),tensor(0.8950),tensor(0.1284),tensor(3.1614),tensor(0.9800),tensor(0.0654)
0,0.05,tensor(2.2645),tensor(0.9059),tensor(0.0913),tensor(3.2514),tensor(0.9882),tensor(0.0493)
0,0.05,tensor(2.3159),tensor(0.9127),tensor(0.0892),tensor(3.1650),tensor(0.9832),tensor(0.0632)
0,0.05,tensor(2.3145),tensor(0.9136),tensor(0.0554),tensor(3.7059),tensor(0.9991),tensor(0.0213)
0,0.05,tensor(2.2877),tensor(0.9109),tensor(0.1279),tensor(2.8718),tensor(0.9659),tensor(0.0890)
0,0.1,tensor(2.2395),tensor(0.9032),tensor(0.0898),tensor(2.4045),tensor(0.9236),tensor(0.0842)
0,0.1,tensor(2.3518),tensor(0.9186),tensor(0.1052),tensor(2.3659),tensor(0.9200),tensor(0.1063)
0,0.1,tensor(2.1636),tensor(0.8823),tensor(0.1127),tensor(2.1636),tensor(0.8823),tensor(0.1127)
0,0.1,tensor(2.1745),tensor(0.8900),tensor(0.1192),tensor(2.1745),tensor(0.8900),tensor(0.1192)
0,0.1,tensor(2.3295),tensor(0.9155),tensor(0.0893),tensor(2.3295),tensor(0.9155),tensor(0.0893)
0,0.1,tensor(2.2064),tensor(0.8950),tensor(0.1284),tensor(2.2064),tensor(0.8950),tensor(0.1284)
0,0.1,tensor(2.2645),tensor(0.9059),tensor(0.0913),tensor(2.7155),tensor(0.9509),tensor(0.0759)
0,0.1,tensor(2.3159),tensor(0.9127),tensor(0.0892),tensor(2.4723),tensor(0.9318),tensor(0.0938)
0,0.1,tensor(2.3145),tensor(0.9136),tensor(0.0554),tensor(3.0314),tensor(0.9768),tensor(0.0328)
0,0.1,tensor(2.2877),tensor(0.9109),tensor(0.1279),tensor(2.2877),tensor(0.9109),tensor(0.1279)
0,0.15,tensor(2.2395),tensor(0.9032),tensor(0.0898),tensor(2.2395),tensor(0.9032),tensor(0.0898)
0,0.15,tensor(2.3518),tensor(0.9186),tensor(0.1052),tensor(2.3518),tensor(0.9186),tensor(0.1052)
0,0.15,tensor(2.1636),tensor(0.8823),tensor(0.1127),tensor(2.1636),tensor(0.8823),tensor(0.1127)
0,0.15,tensor(2.1745),tensor(0.8900),tensor(0.1192),tensor(2.1745),tensor(0.8900),tensor(0.1192)
0,0.15,tensor(2.3295),tensor(0.9155),tensor(0.0893),tensor(2.3295),tensor(0.9155),tensor(0.0893)
0,0.15,tensor(2.2064),tensor(0.8950),tensor(0.1284),tensor(2.2064),tensor(0.8950),tensor(0.1284)
0,0.15,tensor(2.2645),tensor(0.9059),tensor(0.0913),tensor(2.2645),tensor(0.9059),tensor(0.0913)
0,0.15,tensor(2.3159),tensor(0.9127),tensor(0.0892),tensor(2.3159),tensor(0.9127),tensor(0.0892)
0,0.15,tensor(2.3145),tensor(0.9136),tensor(0.0554),tensor(2.3145),tensor(0.9136),tensor(0.0554)
0,0.15,tensor(2.2877),tensor(0.9109),tensor(0.1279),tensor(2.2877),tensor(0.9109),tensor(0.1279)
0,0.2,tensor(2.2395),tensor(0.9032),tensor(0.0898),tensor(2.2395),tensor(0.9032),tensor(0.0898)
0,0.2,tensor(2.3518),tensor(0.9186),tensor(0.1052),tensor(2.3518),tensor(0.9186),tensor(0.1052)
0,0.2,tensor(2.1636),tensor(0.8823),tensor(0.1127),tensor(2.1636),tensor(0.8823),tensor(0.1127)
0,0.2,tensor(2.1745),tensor(0.8900),tensor(0.1192),tensor(2.1745),tensor(0.8900),tensor(0.1192)
0,0.2,tensor(2.3295),tensor(0.9155),tensor(0.0893),tensor(2.3295),tensor(0.9155),tensor(0.0893)
0,0.2,tensor(2.2064),tensor(0.8950),tensor(0.1284),tensor(2.2064),tensor(0.8950),tensor(0.1284)
0,0.2,tensor(2.2645),tensor(0.9059),tensor(0.0913),tensor(2.2645),tensor(0.9059),tensor(0.0913)
0,0.2,tensor(2.3159),tensor(0.9127),tensor(0.0892),tensor(2.3159),tensor(0.9127),tensor(0.0892)
0,0.2,tensor(2.3145),tensor(0.9136),tensor(0.0554),tensor(2.3145),tensor(0.9136),tensor(0.0554)
0,0.2,tensor(2.2877),tensor(0.9109),tensor(0.1279),tensor(2.2877),tensor(0.9109),tensor(0.1279)
